	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	464.56	83420320	157.354866	-35.384738	36	36	102925.16-352305.0	57452.4885	0	0	1	1	1	0.352													21.1366	0.0389	21.3873	0.1865									15.0	
☄	464.63	83430221	157.619687	-35.248989	27	32	103028.72-351456.3	57651.3092	0	0	9	2	1	0.901									20.8191	0.0165	21.0338	0.13	19.8202	0.031	20.0722	0.1702	18.9894	0.0693	19.0111	0.2037	18.586	0.0157	18.6934	0.0715	15.0	
☄	464.78	83422107	157.614538	-35.42248	293	36	103027.48-352520.9	57630.025	1	0	2	2	1	0.55																	19.8106	0.076	19.6783	0.1458					5.6	83422106
☄	465.4	83420294	157.409364	-35.439411	29	44	102938.24-352621.8	57594.7175	0	0	10	1	1	0.949									21.3353	0.0469	21.6057	0.1606	20.343	0.0139	20.4668	0.0937	19.1166	0.0111	19.1539	0.0544	18.6628	0.0166	18.7851	0.1202	8.2	83420358
☄	465.45	83429116	157.418021	-35.22271	29	39	102940.32-351321.7	57523.4937	3	0	18	3	1	0.61									19.3977	0.0454	18.8456	0.0452	18.6884	0.0422	18.2258	0.0342	18.2193	0.0483	17.6545	0.0562	17.9423	0.0263	17.3696	0.0521	7.0	83429077
☄	465.71	83422170	157.649012	-35.377664	25	31	103035.76-352239.5	57463.3146	0	0	32	4	1	0.782									18.6817	0.0292	18.4845	0.0264	17.6902	0.0166	17.5334	0.0234	16.5244	0.013	16.3617	0.01	16.0874	0.0177	15.897	0.0108	12.6	83422186
☄	466.24	83421500	157.561023	-35.452911	37	103	103014.64-352710.4	57593.3284	0	0	5	2	1	0.511																	19.9907	0.0226	19.9636	0.115	19.2057	0.0386	19.3285	0.1131	15.0	
☄	466.71	83422374	157.656247	-35.309786	28	31	103037.49-351835.2	57569.8513	0	0	6	1	1	0.736									21.2352	0.0258	21.3275	0.2085	20.565	0.1345	20.421	0.2397	19.7936	0.0314	19.5955	0.1502					6.1	83422375
☄	466.76	83421041	157.345459	-35.30317	26	24	102922.91-351811.4	57424.9277	0	3	48	4	1	0.986	18.1381	0.0227	18.2048	0.0569	17.7665	0.034	17.7197	0.0397	16.5423	0.0053	16.5539	0.011	16.2155	0.0073	16.2217	0.0145	16.0081	0.0052	16.0213	0.0059	15.9603	0.0069	15.9954	0.0105	15.0	
☄	467.22	83430219	157.624375	-35.252475	38	148	103029.85-351508.9	57592.1353	1	0	5	2	1	0.665																	19.6324	0.047	19.1903	0.0809	19.1169	0.0438	18.7205	0.1212	7.4	83430220
☄	467.66	83422153	157.6357	-35.401382	87	54	103032.56-352404.9	57630.0201	0	0	4	2	1	0.524									21.0595	0.0774	21.2995	0.2069	20.8211	0.0559	20.8777	0.1116									12.8	83422155
☄	468.19	83422108	157.620434	-35.418604	150	151	103028.90-352506.9	57630.0229	0	0	4	2	1	0.489													21.0908	0.0298	21.1215	0.1134	20.0407	0.0726	19.9744	0.1065					15.0	
