	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	rms_epoch	glon	glat	flags	nimaflags	ngood	ngood_min	nch_max	density	u_flags	u_nimaflags	u_ngood	u_nch	u_nclip	v_flags	v_nimaflags	v_ngood	v_nch	v_nclip	g_flags	g_nimaflags	g_ngood	g_nch	g_nclip	r_flags	r_nimaflags	r_ngood	r_nch	r_nclip	i_flags	i_nimaflags	i_ngood	i_nch	i_nclip	z_flags	z_nimaflags	z_ngood	z_nch	z_nclip	class_star	flags_psf	radius_petro	u_psf	e_u_psf	u_rchi2var	u_petro	e_u_petro	v_psf	e_v_psf	v_rchi2var	v_petro	e_v_petro	g_psf	e_g_psf	g_rchi2var	g_petro	e_g_petro	r_psf	e_r_psf	r_rchi2var	r_petro	e_r_petro	i_psf	e_i_psf	i_rchi2var	i_petro	e_i_petro	z_psf	e_z_psf	z_rchi2var	z_petro	e_z_petro	ebmv_sfd	prox	prox_id	dr1_id	dr1_dist	twomass_key	twomass_dist	allwise_cntr	allwise_dist	ucac4_mpos	ucac4_dist	refcat2_id	refcat2_dist	ps1_dr1_id	ps1_dr1_dist	galex_guv_id	galex_guv_dist	gaia_dr2_id1	gaia_dr2_dist1	gaia_dr2_id2	gaia_dr2_dist2
☄	176.08	406586432	218.328047	-78.133742	86	166	143318.73-780801.4	57199.4284	0.002	308.2185	-16.320938	0	0	2	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	0			0		0	0.627	0	8.91																					18.9912	0.0515	12.309	19.2779	0.1038						0.1232	15.0										534214790	0.16					5785782300221716096	0.16	5785782300219175040	8.41
☄	176.12	406586012	218.638406	-78.0603	25	141	143433.21-780337.0	57199.4305	0.001	308.3103	-16.27933	0	0	2	1	1	2.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.813	0	7.59																					18.3707	0.0209	0.0	18.5467	0.0839	18.2935	0.0185	0.0	18.4826	0.201	0.1181	13.1	406586014	246421225	0.09	888892337	13.3					534215401	0.16					5785782987416497408	0.16	5785782983114808832	9.07
☄	176.3	406586314	218.263345	-78.104212	37	51	143303.20-780615.1	57199.4291	0.0014	308.21802	-16.288548	0	0	4	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.936	0	6.11																					18.1719	0.0503	34.139	18.163	0.1162	18.0791	0.0451	17.241	18.2706	0.0841	0.1232	12.4	406586312	246421437	0.26	1203886385	12.33	2160078801351056566	12.38			534214656	0.2					5785783223632951168	0.2	5785783223632957696	12.36
☄	176.49	406586030	218.492734	-78.050999	75	65	143358.25-780303.5	57615.6226	208.0958	308.28543	-16.25869	3	0	6	1	1	2.0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	3	0	2	1	0	1	0	2	1	0	0.972	15	5.45											17.5801	0.0254	0.0	17.8155	0.1637	17.0776	0.0109	0.0	17.1481	0.1013	16.8389	0.0287	12.946	16.7801	0.0441	16.6942	0.0102	0.061	16.6678	0.0835	0.1181	10.4	406586028	246421237	0.09	1203886207	0.19	2160078801351053520	10.34	2865300	10.05	143508069	0.14					5785783773388815232	0.14	5785783777690483072	10.5
☄	176.58	406586246	218.715251	-78.120961	35	25	143451.66-780715.4	57378.5388	290.2685	308.29987	-16.341228	0	0	5	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	1	0	0	3	1	1	0.975	0	6.93																					17.7488	0.0114	46.146	17.8536	0.0375	17.7366	0.0113	25.65	17.7723	0.0681	0.1232	8.0	406586247	246421389	0.05	888892552	7.95	2160078801351055126	11.54			282451143	0.15					5785770854127093760	0.15	5785770858428836352	7.95
☄	176.77	406586238	218.735908	-78.106794	15	23	143456.61-780624.4	57158.1315	164.5146	308.3099	-16.329994	0	1	13	2	1	1.0			0		0			0		0	0	0	2	1	1	0	0	3	1	1	0	1	4	1	0	0	0	4	1	1	0.983	0	4.63											15.692	0.0079	10.062	15.7053	0.0304	15.3021	0.0073	7.163	15.311	0.0175	15.0644	0.0076	1.961	15.0893	0.0085	14.9779	0.0054	3.299	15.0024	0.0161	0.1181	15.0		246421384	0.01	888892493	0.02	2160078801351053665	0.1	2845343	0.02	44059863	0.1					5785782643819101952	0.1		
☄	176.95	406586242	218.722002	-78.117985	89	32	143453.28-780704.7	57199.4277	0.001	308.30246	-16.33907	0	0	2	1	1	3.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.709	0	7.59																					18.8148	0.0332	0.0	18.7852	0.1057	18.5291	0.0619	0.0	18.3145	0.1575	0.1232	11.8	406586241	246421387	0.3	888892525	11.76	2160078801351055126	0.31			534215561	0.28					5785770854127097344	0.28	5785770858428837760	8.78
☄	177.06	406586014	218.653	-78.06231	71	42	143436.72-780344.3	57244.6394	272.9388	308.31232	-16.282387	1	1	6	3	1	3.0			0		0			0		0			0		0			0		0	1	1	3	1	1	0	0	3	1	1	0.955	0	5.83																					17.5394	0.0129	10.24	17.3059	0.0682	17.255	0.0354	22.099	17.1044	0.0393	0.1181	12.3	406586015	246421227	0.23	888892337	0.3			2859918	12.24	282451070	0.14					5785876819563618432	0.14	5785876823854507520	4.21
☄	177.2	406586168	218.737305	-78.094784	43	38	143456.95-780541.2	57361.5748	313.2515	308.31525	-16.319128	0	0	5	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	3	1	1	0.974	0	6.82																					17.9214	0.0602	32.286	17.9648	0.1026	17.4128	0.0105	8.781	17.4015	0.057	0.1181	11.9	406586167	246421337	0.13	888892450	0.18	2160078801351054079	0.18			534215595	0.18					5785782639517382400	0.18	5785782639517383168	8.01
☄	177.52	406586250	218.692656	-78.129278	36	33	143446.23-780745.4	57343.465	370.9849	308.29193	-16.346956	0	0	9	1	1	2.0			0		0			0		0			0		0	0	0	1	1	0	0	0	3	1	0	0	0	5	1	0	0.977	0	7.79																17.754	0.0145	0.0	17.6456	0.1704	17.5219	0.0421	18.855	17.6714	0.0328	17.3588	0.0129	0.602	17.5469	0.0752	0.1232	11.3	406593203	246421392	0.16	888892576	0.23	2160078801351054350	0.16			282451119	0.04					5785770854127085312	0.04	5785770755349619328	11.21
