,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,358.75,94758778,192.515679,-41.432289,33,54,125003.76-412556.2,57895.0115,0,0,3,1,1,0.872,,,,,,,,,,,,,,,,,19.0551,0.0939,19.1548,0.1371,18.7789,0.0438,18.7697,0.1467,15,
☄,358.84,94759082,192.625495,-41.3659,19,16,125030.11-412157.2,57221.4064,0,1,17,2,1,0.996,13.6686,0.0204,13.6755,0.0229,13.2845,0.0079,13.2805,0.0206,11.7473,0.0061,11.7298,0.0217,11.3552,0.0103,11.3502,0.0151,11.1257,0.0053,11.0907,0.0252,11.0518,0.0063,11.0416,0.0199,14.4,94759083
☄,359,94761655,192.563258,-41.245666,59,27,125015.18-411444.3,57562.8941,0,0,10,1,1,0.985,,,,,,,,,17.7416,0.0181,17.7653,0.1521,17.3227,0.0209,17.041,0.2102,16.9646,0.0072,17.0026,0.0158,16.8136,0.0121,16.8629,0.0397,12.4,94761657
☄,359.7,94759411,192.395883,-41.271162,25,31,124935.01-411616.1,57895.3423,0,0,2,1,1,0.89,,,,,,,,,,,,,,,,,18.7271,0.0127,18.8005,0.0919,18.3828,0.0182,18.4375,0.1121,15,
☄,359.72,94759200,192.377227,-41.371943,124,82,124930.53-412218.9,57895.3423,0,0,2,1,1,0.671,,,,,,,,,,,,,,,,,19,0.0345,18.8294,0.1159,18.7091,0.0408,18.7574,0.1972,15,
☄,359.85,94759006,192.563292,-41.421289,36,31,125015.19-412516.6,57524.6899,2,0,10,1,1,0.982,,,,,,,,,,,,,17.6383,0.0162,17.73,0.1058,16.8611,0.01,16.8971,0.0166,16.5027,0.0077,16.564,0.0252,5.7,94759005
☄,360.05,94759005,192.561447,-41.422086,46,42,125014.74-412519.5,57894.8464,3,0,4,2,1,0.91,,,,,,,,,,,,,,,,,18.8519,0.0259,18.8872,0.0813,18.5943,0.0332,18.5444,0.1644,5.7,94759006
☄,360.4,94761353,192.402095,-41.265421,35,30,124936.50-411555.5,57753.4301,0,0,3,1,1,0.924,,,,,,,,,,,,,,,,,18.3597,0.0661,18.3302,0.1623,18.2087,0.0234,18.0871,0.1109,7.8,94759413
☄,360.48,94759016,192.586432,-41.409618,44,75,125020.74-412434.6,57894.8457,0,0,2,2,1,0.851,,,,,,,,,,,,,,,,,19.3729,0.0172,19.5471,0.1206,,,,,8.4,94759015
☄,360.63,94759380,192.37995,-41.289703,32,42,124931.18-411722.9,57328.4667,0,0,13,2,1,0.983,,,,,,,,,17.0054,0.0309,17.1014,0.1918,16.613,0.0279,16.6481,0.0708,16.3409,0.0086,16.3874,0.0192,16.2691,0.0063,16.3026,0.0275,15,
