,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,510.36,461798600,176.22006,-84.410814,33,58,114452.81-842438.9,57607.8991,1,0,6,3,1,0.936,,,,,,,,,,,,,,,,,18.4018,0.0147,18.0789,0.0986,18.076,0.0359,17.8394,0.0945,12.9,461798601
☄,510.47,461797985,177.784784,-84.479118,97,300,115108.34-842844.8,57473.1071,0,0,2,2,1,0.505,,,,,,,,,,,,,,,,,19.356,0.0708,19.3883,0.1196,,,,,15,
☄,510.72,461798672,175.611321,-84.436624,15,46,114226.71-842611.8,57497.5433,0,0,3,1,1,0.806,,,,,,,,,,,,,,,,,18.6861,0.0393,18.7312,0.1267,18.7482,0.0735,19.6047,0.442,15,
☄,510.94,461798399,177.849659,-84.612452,92,35,115123.91-843644.8,57544.2075,0,0,5,1,1,0.513,,,,,,,,,,,,,19.6864,0.0152,19.5473,0.1255,19.2739,0.0502,19.4017,0.1446,,,,,15,
☄,511.09,461842342,176.49123,-84.691968,24,24,114557.89-844131.0,57530.8752,0,0,7,1,1,0.96,,,,,,,,,,,,,18.3879,0.0157,18.5575,0.0585,17.8838,0.0069,17.9329,0.0369,17.7063,0.0375,17.8189,0.0519,8.6,461842341
☄,511.29,461800894,175.006289,-84.544844,55,83,114001.50-843241.4,57497.5431,0,0,4,2,1,0.53,,,,,,,,,,,,,,,,,18.9053,0.0184,18.767,0.0844,18.6358,0.0154,18.5675,0.1345,15,
☄,511.43,461797577,176.504998,-84.407936,74,99,114601.19-842428.5,57607.8984,0,0,3,3,1,0.521,,,,,,,,,,,,,,,,,19.0835,0.07,19.2044,0.1378,,,,,15,
☄,512,461798418,177.761597,-84.627943,36,36,115102.78-843740.5,57828.6105,0,0,1,1,1,0.498,,,,,,,,,,,,,,,,,19.3081,0.0188,19.6812,0.2753,,,,,11,461798415
☄,512.03,461842188,177.54286,-84.652975,45,33,115010.28-843910.7,57578.1709,0,0,7,1,1,0.884,,,,,,,,,,,,,18.8017,0.013,18.8671,0.0694,18.5279,0.0219,18.5558,0.0523,18.3533,0.0136,18.3573,0.1274,15,
☄,512.11,461798306,177.988082,-84.568106,31,30,115157.13-843405.1,57578.1702,0,0,7,1,1,0.97,,,,,,,,,,,,,18.201,0.0123,18.2575,0.0461,18.0129,0.0083,18.0261,0.0402,17.9136,0.0126,17.9426,0.1111,14.3,461798305
☄,512.16,461842265,176.878611,-84.687766,22,28,114730.86-844115.9,57578.1704,0,0,7,1,1,0.969,,,,,,,,,,,,,18.2861,0.011,18.3239,0.0421,17.9193,0.0118,18.0193,0.0599,17.8714,0.04,17.9765,0.0836,15,
☄,512.77,461798013,177.941035,-84.512217,20,27,115145.84-843043.9,57568.0921,0,0,8,1,1,0.852,,,,,,,,,,,,,18.9268,0.0133,18.8671,0.0732,18.6164,0.0128,18.6758,0.0573,18.5326,0.0123,18.6299,0.1066,14.6,461798002
☄,513.1,461798311,177.961025,-84.584362,72,29,115150.64-843503.7,57568.0921,0,0,8,1,1,0.939,,,,,,,,,,,,,19.0568,0.0144,19.2249,0.0815,18.3872,0.0191,18.4229,0.0602,18.0808,0.0248,18.2298,0.0726,9.3,461798319
☄,513.12,461798281,177.99074,-84.535286,27,44,115157.77-843207.0,57171.1888,0,1,23,6,1,0.984,,,,,,,,,,,,,16.3167,0.0217,16.3431,0.0169,15.9447,0.0082,15.9892,0.0131,15.7727,0.0109,15.8133,0.015,12.3,461798283
