	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	884.61	90036555	144.966682	-3.300061	26	31	093952.00-031800.2	57634.4185	0	0	11	2	1	0.963									20.2775	0.0241	20.239	0.0822	19.2956	0.0087	19.3463	0.0395	18.4827	0.0083	18.4969	0.036	18.1345	0.0304	18.1999	0.0528	15.0	
☄	884.7	90037122	145.442656	-3.425373	55	103	094146.23-032531.3	56910.3048	0	0	11	1	1	0.976									18.4326	0.0511	18.2015	0.147	17.8465	0.0495	17.4591	0.2982	17.3864	0.0073	17.4292	0.021	17.1604	0.0321	17.1105	0.0757	15.0	
☄	886.05	90037264	145.004705	-3.221347	25	25	094001.12-031316.8	57410.3311	0	0	6	1	1	0.919									19.7454	0.0123	19.6883	0.0701	19.3049	0.0111	19.2564	0.0609	18.95	0.0588	18.9965	0.0619	18.9351	0.0244	18.8803	0.0935	15.0	
☄	886.15	90036744	145.201668	-3.612969	19	18	094048.40-033646.6	56920.8224	0	0	25	4	1	0.986	15.7141	0.0058	15.7418	0.0242	15.4108	0.0055	15.4243	0.0197	14.2311	0.0064	14.2359	0.0077	13.9438	0.0064	13.954	0.0103	13.7818	0.0053	13.8024	0.0107	13.7587	0.0047	13.7987	0.0107	15.0	
☄	886.63	90036133	145.025557	-3.537366	41	23	094006.13-033214.5	57254.489	0	0	5	1	1	0.803													20.7877	0.0315	20.9205	0.1602	19.169	0.0324	19.1834	0.1084	18.5724	0.0132	18.5849	0.0973	15.0	
☄	886.73	90036487	144.957349	-3.350806	22	35	093949.76-032102.9	57266.7619	0	0	23	4	1	0.983									17.4734	0.0064	17.4842	0.0239	16.8051	0.0083	16.8379	0.0168	16.4306	0.0058	16.4472	0.0102	16.255	0.0065	16.3123	0.0152	15.0	
☄	887.23	90036480	144.956702	-3.363961	25	30	093949.60-032150.2	57368.2823	0	0	18	2	1	0.983									19.0045	0.0099	19.0362	0.0299	18.0494	0.0076	18.0705	0.0448	17.0502	0.0132	17.0935	0.0221	16.684	0.0126	16.7183	0.016	15.0	
☄	887.83	90038069	145.419179	-3.246466	36	36	094140.60-031447.2	57021.7256	0	0	1	1	1	0.485																	19.5241	0.0349	19.7767	0.1722					14.8	90038046
☄	888.44	90038086	145.398742	-3.215378	107	96	094135.69-031255.3	57021.7242	0	0	3	1	1	0.5																	19.2818	0.0314	19.1199	0.0883	18.7137	0.029	18.8046	0.151	15.0	
☄	889.21	90036554	144.963838	-3.305692	36	36	093951.32-031820.4	58188.5339	0	0	1	1	1	0.383																	20.4298	0.0525	20.9959	0.3012					15.0	
☄	889.6	90036405	144.98126	-3.475547	20	80	093955.50-032831.9	57075.4002	0	0	21	1	1	0.983					19.4297	0.0341	19.7184	0.2009	17.7001	0.0146	17.6966	0.0298	17.2176	0.0117	17.2322	0.0173	16.8979	0.0074	16.9262	0.0126	16.7469	0.0209	16.7985	0.0216	15.0	
☄	891.01	90036825	145.33725	-3.575271	56	25	094120.94-033430.9	57021.7249	0	0	4	2	1	0.771																	18.7617	0.0786	18.9009	0.2091	18.5095	0.0603	18.5295	0.2156	15.0	
☄	891.06	90036407	144.976327	-3.465875	98	34	093954.31-032757.1	57799.2637	0	0	3	1	1	0.667																	19.8578	0.0302	20.0196	0.1134	19.2511	0.0467	19.6337	0.1719	11.6	90036406
