,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,731.73,500017786,88.395579,-61.238933,60,39,055334.93-611420.1,57413.8239,0,0,28,1,1,0.982,18.8765,0.0139,19.084,0.253,18.676,0.0208,18.9564,0.0899,17.2856,0.0072,17.1454,0.0301,16.912,0.0064,16.8114,0.0168,16.6317,0.006,16.6715,0.0116,16.5659,0.0075,16.6078,0.0157,6.7,500017788
☄,731.8,500022753,88.326042,-61.35269,36,36,055318.25-612109.6,57747.5851,0,0,1,1,1,0.463,,,,,,,,,,,,,20.7463,0.0214,20.7937,0.1595,,,,,,,,,15,
☄,732.26,500012352,89.135855,-61.435095,82,48,055632.60-612606.3,57616.1724,0,0,11,1,1,0.877,,,,,,,,,,,,,20.7137,0.024,20.8429,0.1571,18.9716,0.0169,19.0953,0.0528,18.3188,0.0167,18.3748,0.0983,15,
☄,732.75,500012375,89.067035,-61.485736,31,53,055616.08-612908.6,57543.3867,3,0,8,2,1,0.941,,,,,,,,,,,,,19.4533,0.0405,19.0146,0.3571,18.8386,0.0523,18.5674,0.1189,18.4812,0.0253,18.3131,0.3387,6.1,500012376
☄,732.87,500012113,88.982052,-61.52068,35,42,055555.69-613114.4,57506.2169,0,0,16,3,1,0.978,,,,,,,,,18.9748,0.0417,18.9002,0.1431,18.7185,0.0058,18.6742,0.0371,18.5954,0.02,18.5918,0.0403,18.6347,0.0428,18.8591,0.1054,15,
☄,732.94,500017101,88.894319,-61.158602,36,36,055534.63-610930.9,57747.5851,0,0,1,1,1,0.494,,,,,,,,,,,,,20.6607,0.0258,20.6882,0.2073,,,,,,,,,15,
☄,733.02,500017138,88.83136,-61.15018,135,53,055519.52-610900.6,57364.1311,1,0,4,2,1,0.669,,,,,,,,,,,,,19.7477,0.0388,19.6885,0.0702,19.598,0.0138,19.4712,0.109,,,,,8.7,500017127
☄,733.06,500017126,88.867028,-61.154307,22,42,055528.08-610915.5,57617.7851,0,0,11,3,1,0.966,,,,,,,,,,,,,19.4108,0.0099,19.4405,0.1189,18.4125,0.0082,18.4081,0.0527,18.0373,0.0106,18.2315,0.0561,15,
☄,733.1,500013525,88.431748,-61.485225,21,31,055343.61-612906.8,57440.1366,0,0,12,2,1,0.973,,,,,,,,,19.233,0.0891,19.3003,0.0832,18.771,0.0234,18.7758,0.0302,18.4279,0.008,18.4536,0.0412,18.3217,0.0218,18.4282,0.0641,8.7,500013529
☄,733.25,500012339,89.096653,-61.468179,36,36,055623.19-612805.4,57747.5851,0,0,1,1,1,0.18,,,,,,,,,,,,,20.6876,0.0832,20.1489,0.1844,,,,,,,,,13.1,500012337
☄,733.82,500016934,89.015945,-61.191227,12,27,055603.82-611128.4,57371.41,0,8,48,6,1,0.987,16.1194,0.0054,16.153,0.0157,15.727,0.0055,15.7118,0.012,14.7715,0.0078,14.7584,0.0085,14.5449,0.0052,14.532,0.0083,14.4244,0.0035,14.442,0.0046,14.4163,0.0035,14.4538,0.0086,9.7,500016935
☄,733.9,500013573,88.372369,-61.444215,36,36,055329.36-612639.1,57747.5851,0,0,1,1,1,0.489,,,,,,,,,,,,,20.6975,0.059,20.4211,0.1655,,,,,,,,,12.8,500013575
☄,734.04,500028572,88.350347,-61.280886,17,27,055324.08-611651.1,57328.4257,0,0,15,2,1,0.969,,,,,,,,,19.6337,0.0685,19.7038,0.1092,18.7704,0.0204,18.851,0.0666,18.0834,0.0118,18.1358,0.0586,17.7905,0.0251,17.813,0.0419,14.2,500028571
☄,734.38,500017788,88.392367,-61.239963,36,36,055334.16-611423.8,57747.5893,1,0,1,1,1,0.247,,,,,,,,,,,,,,,,,19.5299,0.0809,19.12,0.1182,,,,,6.7,500017786
☄,734.52,500012943,88.620993,-61.544493,43,90,055429.03-613240.1,57574.063,0,0,4,2,1,0.534,,,,,,,,,,,,,,,,,19.8818,0.0648,20.0266,0.1562,18.9118,0.0773,19.1741,0.2037,15,
☄,734.62,500022736,88.32622,-61.369556,36,36,055318.29-612210.4,57747.5851,0,0,1,1,1,0.509,,,,,,,,,,,,,20.6818,0.0203,20.7515,0.1844,,,,,,,,,15,
☄,734.91,500012453,89.17537,-61.359584,26,27,055642.08-612134.5,57565.3468,0,0,12,1,1,0.98,,,,,,,,,19.1046,0.0116,19.2129,0.079,18.7084,0.0201,18.6988,0.0271,18.3962,0.0191,18.4249,0.0464,18.3299,0.046,18.3939,0.123,15,
☄,735.17,500012898,88.680112,-61.551463,36,36,055443.22-613305.2,57747.5851,0,0,1,1,1,0.492,,,,,,,,,,,,,20.7308,0.0174,20.8356,0.173,,,,,,,,,11.5,500012897
☄,735.22,500022728,88.33021,-61.385271,28,59,055319.25-612306.9,57516.2188,0,0,6,1,1,0.601,,,,,,,,,,,,,20.309,0.1407,19.6376,0.1475,19.6254,0.0445,19.712,0.1308,19.0959,0.0287,19.2801,0.2677,12.2,500022724
☄,735.53,500017853,88.446343,-61.206994,36,36,055347.12-611225.1,57747.5851,0,0,1,1,1,0.561,,,,,,,,,,,,,20.7352,0.0384,20.7451,0.1837,,,,,,,,,10.3,500017851
☄,735.68,500012376,89.066227,-61.487382,35,43,055615.89-612914.5,57392.2461,2,0,11,1,1,0.645,,,,,,,,,19.7109,0.0646,18.677,0.1387,19.3035,0.0779,18.21,0.1201,18.9432,0.0566,18.2647,0.1461,18.7809,0.1862,17.6643,0.1207,6.1,500012375
☄,735.75,500013154,88.461237,-61.500644,11,23,055350.69-613002.3,57411.6193,0,0,47,5,1,0.998,15.5957,0.0071,15.5804,0.0115,15.1832,0.0048,15.179,0.0062,14.2676,0.006,14.2572,0.0078,14.0356,0.004,14.042,0.0074,13.9113,0.0035,13.9336,0.0059,13.8938,0.0035,13.9239,0.0045,13.1,500013155
