	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	401.54	404590437	246.119459	-73.008264	34	32	162428.67-730029.7	56901.5019	0	0	5	1	1	0.786									18.2851	0.0207	18.5091	0.2214	17.9266	0.0189	18.1546	0.2319	17.6806	0.0547	17.5864	0.0749	17.5259	0.0198	17.3593	0.0682	11.2	404590436
☄	401.73	404592670	246.500253	-73.111593	30	26	162600.06-730641.7	57299.1838	0	0	14	2	1	0.97									17.4017	0.0821	17.3274	0.2523	17.1543	0.0155	17.2696	0.0606	16.9639	0.0201	16.9117	0.0458	16.9057	0.0067	16.869	0.0339	8.5	404592671
☄	401.73	404590442	246.121593	-73.014924	48	42	162429.18-730053.7	57134.2444	0	0	7	1	1	0.937									17.4716	0.0139	17.511	0.086	17.1305	0.0405	17.1673	0.0686	16.9504	0.0094	17.0564	0.0669	16.8268	0.0179	16.8739	0.0509	14.7	404590438
☄	401.94	404547333	246.798984	-72.930761	15	24	162711.75-725550.7	57384.1992	0	0	16	2	1	0.993	15.2481	0.0198	15.27	0.0907	14.8785	0.0224	14.8165	0.0863	13.3132	0.0074	13.3038	0.0256	12.8788	0.0076	12.8808	0.0166	12.5743	0.0053	12.577	0.0108	12.4505	0.0053	12.4635	0.0097	15.0	
☄	402.08	404545322	246.305686	-72.903932	46	65	162513.36-725414.1	57062.7203	1	0	14	2	1	0.963									17.786	0.0538	17.4491	0.1865	17.2133	0.0374	17.3845	0.075	16.7113	0.0127	16.5878	0.0226	16.4924	0.0135	16.4927	0.0748	9.3	404545324
☄	402.1	404590654	246.152222	-73.046522	36	36	162436.53-730247.4	57121.7184	0	0	1	1	1	0.485																	18.9891	0.0222	19.2533	0.1934					11.1	404590655
☄	402.1	404545340	246.360249	-72.896094	35	30	162526.45-725345.9	57121.7219	1	0	2	1	1	0.503																	17.5936	0.0122	17.3722	0.0914	17.557	0.0118	17.324	0.0895	9.8	404545339
☄	402.25	404547344	246.838526	-72.948424	62	35	162721.24-725654.3	57121.7205	0	0	4	2	1	0.73																	18.3365	0.0138	18.2362	0.1595	18.107	0.0176	18.2487	0.1529	12.6	404547343
☄	402.71	404545687	246.569646	-72.890017	36	36	162616.71-725324.0	57121.7184	0	0	1	1	1	0.494																	18.7769	0.021	18.4722	0.1296					14.9	404545688
☄	402.77	404590343	246.212307	-72.92643	35	46	162450.95-725535.1	57121.7205	0	3	4	2	1	0.756																	18.281	0.0151	18.1935	0.1731	17.6979	0.0137	17.805	0.0683	9.5	404590341
☄	402.85	404590436	246.117618	-73.005202	20	27	162428.22-730018.7	56906.1038	0	0	11	1	1	0.977									18.1714	0.0228	18.4377	0.2332	17.4894	0.0203	17.5978	0.0817	16.5593	0.0279	16.5806	0.0227	16.263	0.0069	16.3567	0.0429	7.2	404590435
☄	402.89	404545339	246.368589	-72.894929	11	23	162528.46-725341.7	57115.9685	0	0	11	2	1	0.975									16.2307	0.0075	16.2879	0.0409	15.9358	0.02	16.0453	0.0458	15.7558	0.0075	15.7699	0.0146	15.7116	0.0082	15.7684	0.0206	9.8	404545340
☄	402.92	404545836	246.7402	-72.912993	62	91	162657.64-725446.7	57169.7166	0	0	7	2	1	0.93									18.1592	0.0187	18.1238	0.1292					17.6514	0.0082	17.6031	0.0463	17.61	0.0175	17.8028	0.1946	15.0	
☄	403.01	404592696	246.671175	-73.100209	20	36	162641.08-730600.7	57121.7205	0	0	4	2	1	0.786																	18.2235	0.0101	18.362	0.081	18.0709	0.0281	18.1513	0.0987	15.0	
☄	403.15	404592603	246.787728	-73.074123	31	38	162709.05-730426.8	56901.5026	0	0	10	1	1	0.942									17.7626	0.0164	17.8251	0.1678	17.5979	0.0392	17.7318	0.1196	17.3008	0.022	17.4028	0.0329	17.2509	0.0165	17.341	0.059	10.7	404592602
☄	403.53	404547399	246.877866	-72.981391	44	174	162730.68-725853.0	56907.5058	0	0	5	1	1	0.496									18.1015	0.1117	17.8608	0.19	17.8754	0.1143	17.7461	0.1866	17.6562	0.0813	17.3385	0.0562	17.5462	0.1304	17.025	0.1809	11.1	404547397
☄	403.75	404545789	246.648415	-72.896636	46	32	162635.61-725347.8	57050.3158	0	0	5	1	1	0.937													17.8839	0.0349	17.9253	0.1986	17.5651	0.0077	17.6076	0.0359	17.3727	0.0117	17.1722	0.098	9.2	404545788
☄	403.83	404547396	246.873619	-72.974823	36	36	162729.66-725829.3	57121.7198	1	0	1	1	1	0.452																					17.9616	0.0166	17.9081	0.1384	7.9	404547394
☄	403.85	404545665	246.516819	-72.887928	13	27	162604.03-725316.5	57252.0301	0	0	21	5	1	0.983									15.501	0.0077	15.4933	0.0168	14.9164	0.0051	14.942	0.0109	14.4688	0.0053	14.4839	0.0097	14.2577	0.0044	14.2837	0.0082	15.0	
☄	403.87	404545835	246.727225	-72.909724	72	29	162654.53-725435.0	57248.2554	0	0	13	1	1	0.96									18.0557	0.0369	18.1885	0.173	17.1266	0.0078	17.2111	0.0619	16.2239	0.0211	16.2037	0.0177	15.8552	0.0073	15.8689	0.022	15.0	
☄	404.13	404547370	246.858501	-72.960116	17	20	162726.04-725736.4	57270.7009	0	0	14	1	1	0.983	16.5941	0.0121	16.699	0.1005	16.2396	0.0182	16.2761	0.1097	15.028	0.0144	14.9827	0.0506	14.717	0.0093	14.6936	0.0194	14.4979	0.007	14.4738	0.0126	14.4366	0.0063	14.4171	0.0073	11.7	404547367
☄	404.16	404592695	246.704328	-73.095156	28	49	162649.03-730542.5	57167.2841	0	0	15	2	1	0.947									17.7747	0.0848	17.6328	0.213	17.4702	0.0158	17.5837	0.1084	17.1424	0.0236	17.2405	0.0402	17.0903	0.0369	17.1959	0.0597	15.0	
☄	404.29	404591027	246.200438	-73.070514	21	33	162448.10-730413.8	57011.6835	0	0	13	2	1	0.977									17.9776	0.0225	18.1961	0.0985	17.2859	0.0158	17.326	0.0743	16.7198	0.0126	16.7356	0.0324	16.468	0.0237	16.52	0.0643	7.4	404591025
☄	404.81	404592605	246.768747	-73.080616	13	95	162704.49-730450.2	57121.7198	0	0	3	1	1	0.528																	18.7382	0.0247	18.5554	0.2671	18.4312	0.023	18.5628	0.1484	15.0	
☄	405.04	404592596	246.836935	-73.054631	23	59	162720.86-730316.6	57121.7205	0	0	4	2	1	0.606																	18.0614	0.0207	17.842	0.1509	18.0063	0.0521	18.1094	0.0927	6.8	404592589
☄	405.07	404592544	246.87135	-73.029876	21	23	162729.12-730147.5	57244.9961	3	0	15	2	1	0.931									17.3246	0.063	17.1062	0.3103	16.9411	0.0073	16.5553	0.1183	16.7524	0.0241	16.7036	0.0892	16.6775	0.008	16.5633	0.103	6.2	404592542
☄	405.17	404590622	246.122734	-73.022723	18	21	162429.45-730121.8	57126.8841	0	0	11	2	1	0.981									16.103	0.0073	16.1009	0.025	15.5719	0.0065	15.579	0.0183	15.1959	0.0076	15.2047	0.0251	15.0559	0.0087	15.0906	0.022	10.7	404590621
☄	405.25	404591252	246.41977	-73.110114	21	43	162540.74-730636.4	57121.7205	3	0	4	2	1	0.743																	17.8202	0.0157	17.6597	0.0581	17.761	0.0129	17.4558	0.2422	5.8	404591255
☄	405.49	404592674	246.537121	-73.112115	16	50	162608.90-730643.6	57111.8653	0	0	12	2	1	0.611													17.58	0.0548	16.9821	0.1719	16.937	0.0434	16.4221	0.0241	16.6816	0.0291	16.0978	0.0827	9.0	404592673
☄	405.55	404545848	246.772067	-72.920411	69	59	162705.29-725513.4	57230.9235	0	0	9	4	1	0.944																	17.337	0.0152	17.4339	0.0311	17.1093	0.0146	17.2292	0.0794	9.2	404545847
☄	405.71	404592542	246.873427	-73.028277	51	78	162729.62-730141.7	57113.2083	3	0	6	1	1	0.928									17.9056	0.0206	18.1877	0.1289	17.6094	0.0477	17.6169	0.1037	17.4397	0.0116	17.3415	0.0522	17.4011	0.0227	17.2902	0.075	6.2	404592544
☄	406.53	404591025	246.194604	-73.06936	36	36	162446.70-730409.6	57121.7198	0	0	1	1	1	0.488																					18.2111	0.0222	17.8834	0.1289	7.4	404591027
☄	406.97	404590649	246.132353	-73.035343	65	178	162431.76-730207.2	57121.7212	0	0	3	1	1	0.492																	19.049	0.0235	19.2361	0.1489	18.3527	0.0585	18.4222	0.1494	15.0	
☄	407.18	404545323	246.310273	-72.90152	34	33	162514.46-725405.4	57049.8187	0	0	13	2	1	0.979									17.6346	0.0092	17.5989	0.0878	17.1264	0.0132	17.1801	0.0742	16.7739	0.0202	16.8087	0.0275	16.6483	0.0195	16.7356	0.035	9.9	404545322
☄	407.29	404545649	246.478691	-72.887038	62	102	162554.88-725313.3	57121.7198	0	0	2	2	1	0.489																	18.8752	0.0122	18.5399	0.0832					7.7	404545650
☄	407.34	404592521	246.883552	-73.015441	36	36	162732.05-730055.5	57121.7184	0	0	1	1	1	0.491																	18.864	0.028	19.215	0.1786					15.0	
☄	407.36	404590342	246.220476	-72.921925	36	66	162452.91-725518.9	56898.5007	0	0	10	1	1	0.562									18.0079	0.031	18.3873	0.1304	17.5973	0.0741	17.6779	0.133	17.4836	0.0259	16.9544	0.0614	17.2571	0.0137	16.9514	0.0674	11.9	404590341
☄	407.47	404547343	246.837704	-72.944937	37	37	162721.04-725641.7	57383.3308	0	3	16	1	1	0.984	16.9506	0.0127	16.8207	0.0898	16.4536	0.017	16.3408	0.0942	14.7582	0.0092	14.7658	0.0185	14.2743	0.0075	14.2741	0.0149	13.9106	0.0053	13.9101	0.01	13.7543	0.0053	13.7681	0.0138	12.6	404547344
☄	408.01	404545845	246.762862	-72.91687	20	23	162703.08-725500.7	57230.9018	0	0	17	3	1	0.981									16.221	0.0204	16.2606	0.0573	15.886	0.0068	15.875	0.048	15.6138	0.0051	15.6343	0.0093	15.5214	0.0075	15.5518	0.0192	15.0	
☄	408.13	404547394	246.876112	-72.972761	32	35	162730.26-725821.9	57270.7009	2	0	14	1	1	0.981	16.8571	0.0123	16.8884	0.1084	16.5788	0.0117	16.6254	0.1124	15.6626	0.0093	15.6353	0.0857	15.3502	0.0349	15.2753	0.105	15.154	0.0132	14.9012	0.0473	15.0567	0.0221	14.8424	0.0376	4.8	404547395
☄	408.2	404592600	246.823577	-73.062764	56	35	162717.65-730345.9	56916.7033	0	0	9	1	1	0.636													17.828	0.1293	16.8198	0.1017	17.2827	0.0477	16.3747	0.1514	16.8955	0.0484	16.024	0.0485	15.0	
☄	408.52	404590429	246.111872	-73.00053	23	24	162426.84-730001.9	56906.1033	0	0	11	2	1	0.978									17.1594	0.0453	17.3186	0.0891	16.4805	0.0255	16.5423	0.0593	15.9327	0.008	15.9854	0.0164	15.7015	0.0072	15.7454	0.0282	13.3	404590435
☄	408.6	404591218	246.334598	-73.10275	34	36	162520.30-730609.9	57335.6799	0	4	13	2	1	0.879									17.1335	0.0143	17.1728	0.0551	16.9315	0.0129	16.8362	0.0673	16.6943	0.0322	16.5147	0.0449	16.5558	0.0219	16.4253	0.0395	14.2	404591216
