,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,1015.97,504032891,18.319631,-50.484111,24,30,011316.71-502902.7,57838.5612,0,4,10,2,1,0.975,,,,,,,,,19.9354,0.0323,20.019,0.1637,19.088,0.0079,19.0458,0.0423,17.8536,0.0102,17.9051,0.0221,17.3677,0.0398,17.4066,0.1192,15,
☄,1016.1,504033088,18.31003,-50.384767,25,34,011314.40-502305.1,57811.403,0,1,11,2,1,0.978,,,,,,,,,18.7779,0.0208,18.7815,0.0394,18.6411,0.0074,18.6585,0.0286,18.527,0.0075,18.5471,0.0363,18.5462,0.0376,18.6398,0.1722,15,
☄,1017.08,504034837,18.933938,-50.159748,35,151,011544.14-500935.0,57963.7914,0,0,3,1,1,0.498,,,,,,,,,20.5458,0.0239,20.508,0.1103,20.2954,0.0208,20.6516,0.1346,,,,,,,,,15,
☄,1017.8,504033840,18.449738,-50.208903,148,251,011347.93-501232.0,57962.7825,0,0,2,1,1,0.493,,,,,,,,,20.88,0.1123,20.2984,0.1288,20.5078,0.0857,20.4642,0.2088,,,,,,,,,11.4,504033841
☄,1017.9,504034839,18.924527,-50.156834,41,27,011541.88-500924.6,57824.2701,0,3,12,2,1,0.98,,,,,,,,,18.8311,0.0129,18.836,0.022,18.6369,0.0113,18.6425,0.0275,18.5093,0.0116,18.4662,0.0426,18.4578,0.0247,18.2527,0.0858,15,
☄,1018.26,504028504,18.959611,-50.666183,34,25,011550.30-503958.2,57850.2195,0,17,11,2,1,0.155,,,,,,,,,19.133,0.0839,18.0631,0.0394,18.7045,0.1064,17.5226,0.0517,18.3741,0.0979,17.307,0.0903,18.1632,0.0764,17.3416,0.0726,13.6,504028503
☄,1018.32,504034775,18.755908,-50.133824,67,29,011501.41-500801.7,57755.0917,0,0,6,1,1,0.906,,,,,,,,,,,,,20.0272,0.0107,20.0375,0.1288,18.5867,0.0089,18.7025,0.0523,17.9918,0.016,18.0726,0.0707,15,
☄,1018.78,504034411,19.114,-50.255092,20,19,011627.36-501518.3,57880.1105,0,11,15,2,1,0.997,17.3938,0.0085,17.3648,0.0301,17.0803,0.013,17.087,0.0209,14.6966,0.0074,14.6989,0.0124,14.028,0.0074,14.0321,0.0074,13.6072,0.0053,13.6148,0.0065,13.4361,0.0074,13.4522,0.0074,15,
☄,1019.06,504033144,18.327419,-50.330108,31,23,011318.58-501948.3,57864.8321,0,13,17,2,1,0.999,15.8174,0.0061,15.8104,0.0096,15.4726,0.0094,15.4781,0.0079,14.1849,0.0074,14.1839,0.0074,13.8749,0.0074,13.8722,0.0074,13.6882,0.0053,13.6976,0.0053,13.6391,0.0081,13.6519,0.0061,15,
☄,1019.36,504027575,18.580416,-50.678515,33,29,011419.29-504042.6,57860.122,0,8,8,1,1,0.187,,,,,,,,,18.4919,0.0581,17.9401,0.0194,18.0602,0.0877,17.489,0.0249,17.7405,0.0627,17.1099,0.0741,17.6118,0.0635,17.0559,0.0481,15,
