,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,737.92,460655999,152.350839,-79.987458,212,287,100924.20-795914.8,57264.5087,0,0,2,2,1,0.498,,,,,,,,,,,,,,,,,18.2884,0.0146,18.4359,0.0978,,,,,15,
☄,738.08,460715570,151.694295,-80.117842,36,45,100646.63-800704.2,57223.9116,0,0,5,1,1,0.715,,,,,,,,,,,,,18.0901,0.0266,18.2032,0.1441,17.724,0.0574,17.2743,0.2715,17.5731,0.0589,17.2938,0.2987,15,
☄,738.19,460656199,152.099413,-79.794768,36,36,100823.85-794741.1,57467.5013,0,0,1,1,1,0.35,,,,,,,,,,,,,,,,,18.4991,0.0278,18.638,0.0851,,,,,15,
☄,738.52,460717054,150.145565,-80.012891,36,18,100034.93-800046.4,57243.512,0,0,15,1,1,0.982,17.4769,0.046,17.7226,0.1537,17.4048,0.0193,17.5153,0.1957,15.9647,0.0085,15.9281,0.0244,15.5949,0.0117,15.6391,0.0352,15.3578,0.0061,15.3405,0.0231,15.2605,0.0054,15.2809,0.0243,13.9,460717052
☄,738.69,460658045,150.489522,-79.770389,28,22,100157.48-794613.4,57196.8456,0,0,6,1,1,0.911,,,,,,,,,18.2869,0.0237,18.4012,0.1521,17.6085,0.0135,17.71,0.1072,17.3795,0.0121,17.383,0.107,17.2239,0.0737,17.2888,0.0767,8.4,460658046
☄,739.1,460717665,150.461015,-80.086924,42,25,100150.64-800512.9,57223.9108,1,0,5,1,1,0.82,,,,,,,,,,,,,18.0842,0.0252,18.2564,0.2131,17.8209,0.0137,18.0913,0.1041,17.5289,0.038,17.4415,0.1872,7.9,460717666
☄,739.29,460658049,150.457634,-79.774867,44,48,100149.83-794629.5,57398.4265,0,0,9,2,1,0.951,,,,,,,,,,,,,17.6639,0.0735,17.6784,0.0972,16.977,0.0161,16.817,0.1474,16.6409,0.0255,16.5224,0.11,4.9,460658050
☄,739.63,460717666,150.470182,-80.088447,53,97,100152.84-800518.4,57332.1744,0,0,6,3,1,0.871,,,,,,,,,,,,,,,,,17.6603,0.0095,17.6169,0.1483,17.198,0.0689,17.0854,0.1439,7.9,460717665
☄,740.4,460716430,150.614583,-80.106407,49,31,100227.49-800623.0,57256.222,3,0,14,2,1,0.974,,,,,,,,,17.3206,0.0123,17.4924,0.0862,16.9732,0.007,17.0768,0.0591,16.6292,0.0068,16.5441,0.0312,16.4903,0.0099,16.1474,0.124,7.8,460716427
☄,740.67,460656189,151.808302,-79.751868,23,21,100713.99-794506.7,57196.8456,0,0,6,1,1,0.975,,,,,,,,,17.2187,0.0162,17.2679,0.0772,16.8265,0.0136,16.876,0.0645,16.4464,0.0082,16.4615,0.0284,16.336,0.0172,16.4227,0.0584,15,
☄,740.77,460656274,152.352425,-79.874076,67,47,100924.58-795226.6,57223.2791,0,0,10,1,1,0.983,17.0825,0.0208,17.1095,0.0968,17.006,0.0352,17.2803,0.134,15.6026,0.0105,15.6407,0.033,15.2184,0.0126,15.298,0.0234,14.9973,0.0067,14.9711,0.0284,14.946,0.0075,14.9092,0.0225,9.8,460656275
☄,740.89,460657963,150.748874,-79.741747,36,36,100259.72-794430.2,57467.5041,0,0,1,1,1,0.496,,,,,,,,,,,,,,,,,18.0943,0.0107,18.375,0.1668,,,,,15,
☄,741.12,460656111,152.184063,-79.812342,37,67,100844.17-794844.4,57264.3781,0,0,8,1,1,0.781,,,,,,,,,18.4136,0.0278,18.5913,0.1946,17.7901,0.0209,17.679,0.152,17.5671,0.0215,17.6346,0.0482,17.4578,0.0368,17.3726,0.1726,15,
☄,741.2,460656115,152.281619,-79.841434,35,38,100907.58-795029.1,57356.7604,0,0,13,2,1,0.98,,,,,,,,,16.5829,0.0438,16.6356,0.0592,16.2323,0.0285,16.2997,0.0759,15.9579,0.0062,15.9707,0.0142,15.8544,0.0061,15.8754,0.0412,12.9,460656116
