,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,534.05,483459668,286.795023,-64.380895,67,33,190710.80-642251.2,57022.6386,0,0,8,3,1,0.981,,,,,,,,,,,,,,,,,17.7936,0.0082,17.8866,0.0222,17.2197,0.0143,17.2793,0.0403,10.9,483459666
☄,534.32,483459771,286.747425,-64.399195,13,19,190659.38-642357.1,57001.5359,0,0,15,1,1,0.983,17.4299,0.0133,17.5922,0.1955,,,,,15.8348,0.0156,15.8411,0.0347,15.5159,0.0063,15.5244,0.0188,15.2799,0.0094,15.3253,0.0177,15.214,0.0055,15.2713,0.0128,13.3,483459770
☄,534.85,483477251,287.32882,-64.545461,67,32,190918.91-643243.6,57028.6005,0,0,8,1,1,0.982,,,,,,,,,,,,,17.8441,0.0231,18.1589,0.2709,17.2248,0.0077,17.2997,0.015,16.9738,0.0179,17.0641,0.0304,7.9,483477252
☄,535.15,483459727,286.655649,-64.48943,36,36,190637.35-642921.9,57180.748,0,0,1,1,1,0.451,,,,,,,,,,,,,,,,,20.263,0.0239,20.302,0.2474,,,,,13.5,483459728
☄,535.33,483459363,286.722492,-64.588803,60,38,190653.39-643519.6,57239.555,0,0,5,2,1,0.934,,,,,,,,,,,,,,,,,18.9166,0.0509,19.0613,0.0798,18.7352,0.1195,18.9135,0.0898,12,483460445
☄,535.7,483468231,287.122402,-64.639214,36,36,190829.37-643821.1,57180.748,0,0,1,1,1,0.396,,,,,,,,,,,,,,,,,20.3164,0.0291,20.4991,0.197,,,,,15,
☄,535.81,483459946,286.90811,-64.356545,36,36,190737.94-642123.5,57180.748,0,0,1,1,1,0.499,,,,,,,,,,,,,,,,,20.227,0.0447,20.3432,0.2163,,,,,10.7,483459947
☄,536.13,483468301,287.146975,-64.634887,85,120,190835.27-643805.5,57180.7591,0,0,2,2,1,0.51,,,,,,,,,,,,,,,,,20.1455,0.0351,20.3348,0.2626,,,,,15,
☄,536.33,483477063,287.298339,-64.424813,25,60,190911.60-642529.3,57180.7598,0,0,4,2,1,0.879,,,,,,,,,,,,,,,,,19.3199,0.0144,19.3696,0.071,19.1448,0.0117,19.3083,0.1265,15,
☄,536.34,483460531,286.85744,-64.635825,45,25,190725.78-643808.9,57180.7708,0,0,2,1,1,0.964,,,,,,,,,,,,,,,,,18.5059,0.0156,18.5844,0.0631,18.517,0.0174,18.6481,0.1191,14.6,483460524
☄,536.74,483460461,286.765716,-64.609986,41,47,190703.77-643635.9,56990.8101,0,0,10,2,1,0.983,,,,,,,,,,,,,17.6736,0.0115,17.8897,0.1087,17.4059,0.0086,17.4846,0.0233,17.2546,0.0107,17.3286,0.0256,6.6,483460462
☄,537.09,483477242,287.344008,-64.518438,46,68,190922.56-643106.3,57180.7598,0,0,4,2,1,0.98,,,,,,,,,,,,,,,,,18.4685,0.0466,18.5029,0.0402,18.3848,0.0598,18.3437,0.1001,7.7,483477243
☄,537.14,483477243,287.343404,-64.520553,46,47,190922.41-643113.9,57180.7598,0,0,2,1,1,0.561,,,,,,,,,,,,,,,,,20.0484,0.0305,20.0544,0.2955,19.1239,0.0381,19.3968,0.2555,7.7,483477242
☄,537.46,483461083,287.228443,-64.612501,17,30,190854.82-643645.0,57180.7598,0,0,4,2,1,0.93,,,,,,,,,,,,,,,,,19.0971,0.0256,19.1222,0.0645,19.0543,0.0175,19.034,0.1217,15,
☄,537.52,483477197,287.261737,-64.598197,24,51,190902.81-643553.5,57025.6194,0,0,8,2,1,0.982,,,,,,,,,,,,,17.8289,0.0666,17.996,0.1239,17.5809,0.0245,17.5876,0.018,17.4555,0.0098,17.5771,0.0329,15,
☄,537.58,483477198,287.273193,-64.592267,34,25,190905.56-643532.1,57180.7559,0,0,3,1,1,0.88,,,,,,,,,,,,,,,,,19.4155,0.049,19.4284,0.0883,19.2743,0.0295,19.3343,0.1517,15,
☄,538.07,483459770,286.740135,-64.401113,14,19,190657.63-642404.0,56999.3128,0,0,25,3,1,0.996,16.2736,0.0082,16.293,0.0616,15.8805,0.0093,15.8958,0.038,14.7427,0.0062,14.7543,0.0119,14.4439,0.0053,14.4628,0.0107,14.2782,0.0049,14.3111,0.0059,14.24,0.0045,14.2827,0.0071,13.3,483459771
☄,538.33,483477246,287.338437,-64.534035,45,32,190921.22-643202.5,57180.7598,0,0,4,2,1,0.92,,,,,,,,,,,,,,,,,19.3336,0.0317,19.462,0.0928,18.7504,0.01,18.8303,0.084,11.1,483477245
☄,538.37,483476389,287.209234,-64.380772,119,36,190850.21-642250.7,57180.7591,0,0,2,2,1,0.524,,,,,,,,,,,,,,,,,19.9764,0.0355,19.7911,0.1188,,,,,15,
☄,538.51,483460540,286.880582,-64.640523,59,36,190731.33-643825.8,57180.7598,0,0,4,2,1,0.789,,,,,,,,,,,,,,,,,19.5615,0.0344,19.4817,0.2479,18.9427,0.1597,18.7039,0.4351,15,
