	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	479.57	458072908	134.824284	-69.881201	12	18	085917.82-695252.3	57619.7841	0	5	37	5	1	0.985	17.7438	0.0264	17.7967	0.0577	17.5069	0.0114	17.4748	0.077	16.3688	0.0048	16.3807	0.0056	16.0263	0.0057	16.0385	0.0055	15.8004	0.0075	15.8078	0.0064	15.7231	0.0044	15.7493	0.0088	13.5	458072907
☄	479.59	458068368	135.314435	-69.92165	29	31	090115.46-695517.9	57672.0441	0	2	19	4	1	0.979									19.4445	0.008	19.4642	0.0337	18.7588	0.0118	18.756	0.0241	18.3115	0.017	18.3485	0.0339	18.114	0.0146	18.2839	0.0614	13.8	458068364
☄	479.88	458071960	135.171984	-69.880464	13	18	090041.27-695249.6	57690.8039	0	0	33	4	1	0.985	17.9912	0.0364	17.9403	0.0993	17.7131	0.0105	17.755	0.0809	16.5698	0.0057	16.5809	0.0085	16.2467	0.0045	16.2715	0.0057	16.0474	0.0044	16.0803	0.0073	15.9834	0.0078	16.0261	0.0162	15.0	
☄	479.98	458072392	135.107045	-69.871829	35	28	090025.69-695218.5	57564.6044	0	4	24	4	1	0.982									18.1519	0.009	18.1513	0.0257	17.4235	0.0185	17.4408	0.0205	16.9338	0.0076	16.8905	0.0204	16.7418	0.0119	16.6903	0.0349	10.2	458072389
☄	480.11	458076932	134.821596	-70.118676	28	44	085917.18-700707.2	57662.2862	1	0	11	1	1	0.901									20.861	0.0818	21.7986	0.363	19.9038	0.0138	19.9639	0.0876	19.2176	0.0265	19.3779	0.1361	18.9422	0.0904	18.9157	0.2295	6.7	458076928
☄	480.17	458080658	134.658559	-69.935881	31	32	085838.05-695609.1	57863.1339	1	0	6	1	1	0.777													19.9594	0.0257	20.0689	0.223	18.9304	0.1045	18.6771	0.3693	18.4555	0.0319	18.5765	0.105	7.8	458080442
☄	480.18	458076641	134.957188	-70.132583	22	36	085949.72-700757.2	57561.4415	1	0	23	4	1	0.982									18.8324	0.02	18.871	0.0403	18.0757	0.0091	18.0768	0.0135	17.5161	0.0082	17.5811	0.0233	17.3375	0.0086	17.4674	0.0304	10.5	458076643
☄	480.29	458080921	134.610314	-69.994443	36	36	085826.47-695939.9	57051.5989	3	0	1	1	1	0.658																	17.9418	0.023	18.042	0.1759					4.2	458080920
☄	480.36	458068705	135.383843	-70.02428	49	42	090132.12-700127.4	57623.8509	0	0	9	2	1	0.944									20.0308	0.0185	19.9923	0.074	19.3695	0.0178	19.2901	0.0994	18.9285	0.0104	18.9837	0.1004	18.5125	0.0353	18.46	0.1209	9.5	458068706
☄	480.43	458076928	134.826352	-70.119593	28	36	085918.32-700710.5	57635.6392	3	0	14	2	1	0.94									20.1083	0.0239	19.8458	0.1389	19.3331	0.0187	18.9244	0.0768	18.7284	0.0328	18.6616	0.0763	18.48	0.016	18.5673	0.0771	6.7	458076932
☄	480.45	458068320	135.344684	-69.937777	36	36	090122.72-695615.9	57750.6166	0	0	1	1	1	0.461													20.6378	0.0236	20.6425	0.1518									15.0	
☄	480.99	458068803	135.378553	-69.967419	51	56	090130.85-695802.7	57721.6781	0	0	10	2	1	0.887									20.7497	0.1039	20.8021	0.1373	19.8041	0.012	19.8916	0.0559	19.1541	0.055	19.3376	0.0897					9.4	458068804
☄	481.05	458080490	134.628055	-69.959486	44	48	085830.73-695734.1	57766.7894	3	0	18	3	1	0.972									19.9103	0.0197	19.8636	0.0461	19.2991	0.0077	19.2825	0.0381	18.9353	0.0176	18.757	0.1094	18.7766	0.0637	18.3622	0.2359	4.9	458080489
☄	481.17	458080486	134.621183	-69.96757	102	147	085829.08-695803.2	57778.5699	0	0	2	2	1	0.589													20.6801	0.0636	21.1056	0.2226									8.5	458080495
☄	481.22	458072516	134.942097	-69.867812	27	28	085946.10-695204.1	57524.6735	0	0	26	5	1	0.982									18.0467	0.0114	18.0839	0.0118	17.5299	0.0084	17.5674	0.0126	17.1516	0.0125	17.1974	0.0173	17.0178	0.0068	17.1381	0.0384	9.1	458072524
☄	481.39	458076603	134.996265	-70.133712	90	96	085959.10-700801.3	57789.6533	0	0	2	1	1	0.488																	19.8508	0.074	19.2643	0.1314	19.1334	0.0209	19.3465	0.2344	15.0	
☄	481.43	458080556	134.686781	-69.920229	30	42	085844.82-695512.8	57769.1221	0	0	11	1	1	0.97									19.8809	0.0284	20.0006	0.0483	19.3651	0.0154	19.5064	0.0383	19.0073	0.023	18.8424	0.1957	18.7816	0.0501	19.012	0.1609	11.7	458080550
☄	481.6	458068390	135.249477	-69.897141	23	23	090059.87-695349.7	57523.5085	1	12	24	5	1	0.973									17.7147	0.0117	17.6233	0.0145	17.3195	0.0102	17.2487	0.0169	17.1005	0.0094	17.038	0.0261	17.0185	0.0115	17.0347	0.0253	4.1	458068392
☄	481.65	458080958	134.613006	-70.019951	12	21	085827.12-700111.8	57531.2673	3	6	45	7	1	0.987	17.1372	0.015	17.1498	0.0509	16.8057	0.014	16.857	0.0333	15.5596	0.0065	15.5601	0.0058	15.2189	0.0041	15.2307	0.01	14.9891	0.0045	15.0127	0.0076	14.9324	0.0052	14.9615	0.0078	8.4	458080959
